iter	Passed	Remaining
0	143	143436
1	144	71995
2	146	48613
3	148	37015
4	149	29772
5	150	24900
6	151	21425
7	151	18816
8	152	16787
9	153	15157
10	154	13907
11	155	12832
12	157	11980
13	159	11210
14	160	10533
15	161	9936
16	162	9393
17	163	8899
18	163	8453
19	164	8052
20	165	7692
21	165	7369
22	166	7081
23	167	6823
24	168	6579
25	169	6362
26	170	6145
27	171	5946
28	172	5760
29	172	5590
30	173	5423
31	174	5278
32	175	5134
33	176	5003
34	176	4875
35	177	4750
36	178	4635
37	178	4531
38	179	4429
39	180	4333
40	181	4247
41	182	4157
42	183	4073
43	184	3998
44	184	3922
45	185	3846
46	185	3771
47	186	3699
48	187	3632
49	187	3567
50	188	3508
51	189	3454
52	190	3402
53	191	3347
54	191	3294
55	192	3245
56	193	3196
57	194	3153
58	194	3105
59	195	3059
60	195	3014
61	196	2970
62	196	2929
63	197	2891
64	198	2854
65	199	2817
66	199	2780
67	200	2744
68	200	2709
69	201	2675
70	201	2642
71	202	2609
72	203	2580
73	204	2552
74	205	2529
75	206	2504
76	206	2478
77	207	2454
78	208	2428
79	208	2402
80	209	2375
81	209	2350
82	210	2322
83	210	2298
84	211	2274
85	211	2251
86	212	2229
87	212	2206
88	213	2185
89	214	2164
90	214	2143
91	215	2122
92	215	2102
93	216	2083
94	216	2063
95	217	2045
96	217	2026
97	218	2010
98	219	1998
99	220	1983
100	220	1966
101	221	1950
102	222	1935
103	222	1920
104	223	1905
105	224	1889
106	224	1874
107	225	1860
108	225	1845
109	226	1830
110	226	1816
111	227	1803
112	227	1789
113	228	1775
114	229	1762
115	229	1749
116	230	1736
117	230	1723
118	231	1711
119	231	1698
120	232	1686
121	232	1673
122	233	1662
123	233	1652
124	235	1645
125	235	1635
126	236	1624
127	236	1613
128	237	1603
129	237	1592
130	238	1582
131	239	1572
132	239	1562
133	240	1552
134	240	1542
135	241	1532
136	241	1523
137	242	1514
138	243	1505
139	243	1496
140	244	1487
141	244	1477
142	245	1468
143	245	1460
144	246	1451
145	246	1442
146	247	1434
147	247	1426
148	248	1418
149	249	1411
150	250	1406
151	250	1399
152	251	1392
153	252	1385
154	252	1377
155	253	1370
156	253	1362
157	254	1355
158	254	1348
159	255	1341
160	255	1333
161	256	1325
162	256	1319
163	257	1312
164	258	1305
165	258	1299
166	259	1292
167	259	1286
168	260	1279
169	260	1273
170	261	1267
171	261	1261
172	262	1254
173	263	1248
174	263	1242
175	264	1237
176	265	1233
177	266	1228
178	266	1223
179	267	1219
180	268	1215
181	269	1210
182	269	1204
183	270	1199
184	270	1193
185	271	1187
186	271	1182
187	272	1176
188	273	1171
189	273	1166
190	274	1161
191	274	1155
192	275	1150
193	275	1145
194	276	1140
195	276	1135
196	277	1130
197	278	1126
198	278	1121
199	279	1116
200	280	1113
201	281	1110
202	281	1106
203	282	1103
204	283	1099
205	284	1094
206	284	1090
207	285	1087
208	286	1083
209	286	1079
210	287	1075
211	288	1071
212	288	1067
213	289	1063
214	290	1059
215	290	1055
216	291	1052
217	292	1048
218	292	1044
219	293	1040
220	294	1037
221	295	1034
222	295	1031
223	296	1027
224	297	1024
225	298	1020
226	298	1016
227	299	1012
228	299	1009
229	300	1005
230	300	1001
231	301	997
232	301	993
233	302	990
234	303	986
235	303	982
236	304	978
237	304	975
238	305	971
239	305	967
240	306	964
241	306	960
242	307	957
243	307	953
244	308	950
245	309	948
246	310	946
247	311	943
248	312	941
249	312	938
250	313	934
251	313	931
252	314	927
253	314	924
254	315	921
255	315	917
256	316	914
257	316	911
258	317	908
259	318	905
260	318	902
261	319	898
262	319	895
263	320	892
264	320	889
265	321	886
266	321	883
267	322	880
268	323	877
269	323	874
270	324	872
271	325	869
272	325	867
273	326	865
274	327	862
275	327	859
276	328	857
277	328	854
278	329	851
279	330	848
280	330	846
281	331	843
282	331	840
283	332	837
284	332	834
285	333	832
286	333	829
287	334	826
288	334	824
289	335	821
290	336	818
291	336	816
292	337	813
293	337	811
294	338	808
295	338	805
296	339	803
297	340	802
298	341	800
299	341	797
300	342	795
301	343	793
302	343	790
303	344	788
304	344	785
305	345	783
306	345	781
307	346	778
308	347	776
309	347	773
310	348	771
311	348	768
312	349	766
313	349	764
314	350	761
315	350	759
316	351	757
317	352	755
318	352	753
319	353	750
320	353	748
321	354	746
322	354	744
323	355	742
324	356	740
325	357	738
326	357	736
327	358	735
328	359	733
329	360	731
330	360	729
331	361	727
332	362	725
333	362	722
334	363	720
335	363	718
336	364	716
337	364	714
338	365	712
339	365	709
340	366	708
341	366	705
342	367	703
343	368	701
344	368	699
345	369	697
346	369	695
347	370	694
348	371	693
349	372	691
350	372	689
351	373	687
352	373	685
353	374	683
354	374	681
355	375	679
356	375	677
357	376	675
358	377	673
359	377	671
360	378	669
361	378	667
362	379	665
363	379	663
364	380	661
365	381	660
366	381	658
367	382	657
368	383	655
369	384	653
370	384	652
371	385	651
372	387	650
373	387	648
374	388	647
375	388	645
376	390	644
377	390	643
378	391	641
379	391	639
380	392	637
381	393	635
382	393	633
383	394	632
384	394	630
385	395	628
386	395	627
387	396	625
388	396	623
389	397	621
390	397	619
391	398	618
392	399	616
393	399	614
394	400	612
395	400	611
396	402	610
397	402	609
398	403	608
399	404	606
400	404	604
401	405	603
402	406	601
403	406	599
404	407	598
405	407	596
406	408	594
407	408	593
408	409	591
409	409	589
410	410	588
411	411	586
412	411	585
413	412	583
414	412	581
415	413	580
416	413	578
417	414	576
418	414	575
419	415	573
420	416	572
421	417	571
422	418	570
423	418	569
424	419	567
425	420	566
426	421	565
427	421	563
428	422	562
429	423	560
430	423	559
431	424	557
432	424	556
433	425	555
434	426	554
435	427	552
436	427	551
437	428	550
438	429	548
439	430	547
440	431	546
441	431	545
442	432	544
443	433	543
444	434	542
445	435	541
446	436	540
447	437	539
448	438	538
449	439	537
450	441	537
451	442	536
452	442	534
453	443	533
454	443	531
455	444	530
456	445	529
457	446	528
458	447	527
459	448	525
460	448	524
461	449	523
462	450	521
463	450	520
464	451	519
465	452	518
466	453	517
467	454	516
468	455	516
469	456	514
470	457	513
471	457	511
472	458	510
473	458	508
474	459	507
475	459	506
476	460	504
477	461	503
478	462	502
479	463	501
480	463	500
481	464	499
482	465	498
483	466	496
484	466	495
485	467	494
486	468	493
487	469	492
488	470	491
489	471	490
490	472	489
491	472	488
492	473	486
493	473	485
494	474	484
495	475	482
496	475	481
497	476	480
498	477	479
499	478	478
500	478	476
501	479	475
502	480	474
503	481	473
504	481	472
505	482	470
506	482	469
507	483	468
508	484	467
509	484	465
510	485	464
511	485	463
512	486	461
513	487	460
514	487	459
515	488	458
516	488	456
517	489	455
518	490	454
519	490	453
520	491	452
521	492	451
522	493	449
523	494	448
524	494	447
525	495	446
526	496	445
527	497	444
528	498	444
529	499	442
530	500	441
531	500	440
532	501	439
533	501	437
534	502	436
535	502	435
536	503	434
537	503	432
538	504	431
539	504	430
540	505	428
541	506	428
542	507	427
543	508	426
544	509	425
545	510	424
546	510	423
547	511	421
548	512	420
549	512	419
550	513	418
551	513	416
552	514	415
553	514	414
554	515	413
555	515	412
556	516	410
557	517	409
558	517	408
559	518	407
560	518	405
561	519	404
562	519	403
563	520	402
564	521	401
565	521	400
566	523	399
567	523	398
568	524	397
569	525	396
570	526	395
571	527	394
572	528	393
573	528	392
574	529	391
575	530	390
576	531	389
577	531	388
578	532	387
579	533	386
580	533	384
581	534	383
582	534	382
583	535	381
584	536	380
585	537	379
586	538	378
587	538	377
588	539	376
589	540	375
590	541	374
591	541	373
592	542	372
593	543	371
594	544	370
595	544	369
596	545	368
597	546	367
598	547	366
599	548	365
600	549	364
601	549	363
602	550	362
603	551	361
604	552	360
605	552	359
606	553	358
607	554	357
608	555	356
609	556	355
610	557	354
611	557	353
612	558	352
613	559	351
614	559	350
615	560	349
616	561	348
617	561	347
618	562	346
619	562	344
620	563	343
621	564	342
622	564	341
623	565	340
624	566	339
625	567	338
626	568	337
627	569	337
628	569	336
629	570	335
630	571	334
631	572	333
632	573	332
633	574	331
634	575	330
635	575	329
636	576	328
637	577	327
638	578	326
639	578	325
640	579	324
641	580	323
642	581	322
643	582	321
644	583	321
645	584	320
646	584	319
647	585	318
648	586	317
649	587	316
650	587	315
651	588	313
652	588	312
653	589	311
654	589	310
655	590	309
656	590	308
657	591	307
658	592	306
659	592	305
660	593	304
661	593	303
662	594	302
663	594	301
664	595	299
665	596	298
666	596	298
667	598	297
668	598	296
669	599	295
670	600	294
671	600	293
672	601	292
673	601	291
674	602	290
675	602	288
676	603	287
677	604	286
678	604	285
679	605	284
680	605	283
681	606	282
682	606	281
683	607	280
684	607	279
685	608	278
686	609	277
687	609	276
688	610	275
689	610	274
690	611	273
691	612	272
692	613	271
693	613	270
694	614	269
695	615	268
696	615	267
697	616	266
698	616	265
699	617	264
700	618	263
701	618	262
702	619	261
703	619	260
704	620	259
705	620	258
706	621	257
707	621	256
708	622	255
709	623	254
710	623	253
711	624	252
712	624	251
713	625	250
714	625	249
715	626	248
716	626	247
717	628	246
718	628	245
719	629	244
720	630	243
721	630	242
722	631	242
723	632	241
724	632	240
725	633	239
726	633	238
727	634	237
728	635	236
729	635	235
730	636	234
731	636	233
732	637	232
733	637	231
734	638	230
735	639	229
736	639	228
737	640	227
738	640	226
739	641	225
740	642	224
741	642	223
742	643	222
743	644	221
744	645	220
745	645	219
746	646	219
747	647	218
748	648	217
749	649	216
750	649	215
751	650	214
752	650	213
753	651	212
754	651	211
755	652	210
756	652	209
757	653	208
758	654	207
759	654	206
760	655	205
761	655	204
762	656	203
763	656	202
764	657	201
765	658	201
766	659	200
767	659	199
768	660	198
769	661	197
770	661	196
771	662	195
772	662	194
773	663	193
774	664	192
775	664	191
776	665	190
777	665	189
778	666	189
779	666	188
780	667	187
781	667	186
782	668	185
783	669	184
784	669	183
785	670	182
786	670	181
787	671	180
788	671	179
789	672	178
790	673	177
791	674	177
792	675	176
793	675	175
794	676	174
795	676	173
796	677	172
797	677	171
798	678	170
799	678	169
800	679	168
801	680	167
802	681	167
803	681	166
804	682	165
805	682	164
806	683	163
807	683	162
808	684	161
809	685	160
810	685	159
811	686	158
812	686	157
813	687	157
814	688	156
815	688	155
816	689	154
817	690	153
818	691	152
819	691	151
820	692	150
821	692	150
822	693	149
823	693	148
824	694	147
825	694	146
826	695	145
827	696	144
828	696	143
829	697	142
830	697	141
831	698	141
832	698	140
833	699	139
834	699	138
835	700	137
836	700	136
837	701	135
838	702	134
839	702	133
840	703	132
841	704	132
842	705	131
843	705	130
844	706	129
845	706	128
846	707	127
847	707	126
848	708	126
849	709	125
850	710	124
851	710	123
852	711	122
853	712	121
854	713	120
855	713	120
856	714	119
857	715	118
858	715	117
859	716	116
860	717	115
861	718	114
862	719	114
863	720	113
864	721	112
865	721	111
866	722	110
867	723	110
868	724	109
869	724	108
870	725	107
871	726	106
872	726	105
873	727	104
874	728	104
875	728	103
876	729	102
877	730	101
878	730	100
879	731	99
880	731	98
881	732	97
882	733	97
883	733	96
884	734	95
885	735	94
886	736	93
887	736	92
888	737	92
889	738	91
890	738	90
891	739	89
892	739	88
893	740	87
894	740	86
895	741	86
896	741	85
897	742	84
898	742	83
899	743	82
900	744	81
901	744	80
902	745	80
903	745	79
904	746	78
905	746	77
906	747	76
907	747	75
908	748	74
909	749	74
910	750	73
911	751	72
912	752	71
913	753	70
914	753	70
915	754	69
916	755	68
917	755	67
918	756	66
919	756	65
920	757	64
921	757	64
922	758	63
923	758	62
924	759	61
925	759	60
926	760	59
927	761	59
928	761	58
929	762	57
930	762	56
931	763	55
932	764	54
933	764	54
934	765	53
935	766	52
936	767	51
937	767	50
938	768	49
939	768	49
940	769	48
941	769	47
942	770	46
943	771	45
944	771	44
945	772	44
946	772	43
947	773	42
948	773	41
949	774	40
950	774	39
951	775	39
952	775	38
953	776	37
954	777	36
955	777	35
956	778	34
957	778	34
958	779	33
959	780	32
960	781	31
961	782	30
962	782	30
963	783	29
964	783	28
965	784	27
966	784	26
967	785	25
968	785	25
969	786	24
970	787	23
